id,filename,scene,view_id,input_type,scale,sigma,spp,model,task,psnr,ssim
scene2_9_cbm3d_gn25,scene2_009_CBM3D.png,scene2,9,GN,-,25,-,cbm3d,DN,31.389,0.776
scene2_9_ffdnet_gn25,scene2_009_FFDNet_denoised.png,scene2,9,GN,-,25,-,ffdnet,DN,32.869,0.829
scene1_18_cbm3d_rn32,scene1_018_CBM3D.png,scene1,18,RN,-,-,32,cbm3d,DN,27.711,0.776
scene1_18_ffdnet_rn32,scene1_018_FFDNet_denoised.png,scene1,18,RN,-,-,32,ffdnet,DN,4.695,0.15
scene2_9_cbm3d_rn32,scene2_009_CBM3D.png,scene2,9,RN,-,-,32,cbm3d,DN,30.352,0.767
scene2_9_ffdnet_rn32,scene2_009_FFDNet_denoised.png,scene2,9,RN,-,-,32,ffdnet,DN,2.755,0.195
scene2_20_cbm3d_gn10,scene2_020_CBM3D.png,scene2,20,GN,-,10,-,cbm3d,DN,35.045,0.87
scene2_20_ffdnet_gn10,scene2_020_FFDNet_denoised.png,scene2,20,GN,-,10,-,ffdnet,DN,36.7,0.907
scene1_19_cbm3d_gn10,scene1_019_CBM3D.png,scene1,19,GN,-,10,-,cbm3d,DN,32.899,0.921
scene1_19_ffdnet_gn10,scene1_019_FFDNet_denoised.png,scene1,19,GN,-,10,-,ffdnet,DN,35.14,0.948
scene2_20_cbm3d_gn25,scene2_020_CBM3D.png,scene2,20,GN,-,25,-,cbm3d,DN,31.476,0.783
scene2_20_ffdnet_gn25,scene2_020_FFDNet_denoised.png,scene2,20,GN,-,25,-,ffdnet,DN,32.789,0.825
scene2_20_cbm3d_rn32,scene2_020_CBM3D.png,scene2,20,RN,-,-,32,cbm3d,DN,30.932,0.791
scene2_20_ffdnet_rn32,scene2_020_FFDNet_denoised.png,scene2,20,RN,-,-,32,ffdnet,DN,2.899,0.207
scene2_21_cbm3d_gn10,scene2_021_CBM3D.png,scene2,21,GN,-,10,-,cbm3d,DN,35.062,0.873
scene2_21_ffdnet_gn10,scene2_021_FFDNet_denoised.png,scene2,21,GN,-,10,-,ffdnet,DN,36.797,0.911
scene2_21_cbm3d_gn25,scene2_021_CBM3D.png,scene2,21,GN,-,25,-,cbm3d,DN,31.598,0.786
scene2_21_ffdnet_gn25,scene2_021_FFDNet_denoised.png,scene2,21,GN,-,25,-,ffdnet,DN,33.042,0.83
scene2_21_cbm3d_rn32,scene2_021_CBM3D.png,scene2,21,RN,-,-,32,cbm3d,DN,30.912,0.783
scene2_21_ffdnet_rn32,scene2_021_FFDNet_denoised.png,scene2,21,RN,-,-,32,ffdnet,DN,2.957,0.211
scene1_19_cbm3d_gn25,scene1_019_CBM3D.png,scene1,19,GN,-,25,-,cbm3d,DN,28.335,0.804
scene1_19_ffdnet_gn25,scene1_019_FFDNet_denoised.png,scene1,19,GN,-,25,-,ffdnet,DN,30.422,0.873
scene2_22_cbm3d_gn10,scene2_022_CBM3D.png,scene2,22,GN,-,10,-,cbm3d,DN,35.136,0.878
scene2_22_ffdnet_gn10,scene2_022_FFDNet_denoised.png,scene2,22,GN,-,10,-,ffdnet,DN,36.941,0.916
scene2_22_cbm3d_gn25,scene2_022_CBM3D.png,scene2,22,GN,-,25,-,cbm3d,DN,31.737,0.789
scene2_22_ffdnet_gn25,scene2_022_FFDNet_denoised.png,scene2,22,GN,-,25,-,ffdnet,DN,33.329,0.839
scene2_22_cbm3d_rn32,scene2_022_CBM3D.png,scene2,22,RN,-,-,32,cbm3d,DN,30.913,0.779
scene2_22_ffdnet_rn32,scene2_022_FFDNet_denoised.png,scene2,22,RN,-,-,32,ffdnet,DN,2.879,0.213
scene2_23_cbm3d_gn10,scene2_023_CBM3D.png,scene2,23,GN,-,10,-,cbm3d,DN,35.236,0.877
scene2_23_ffdnet_gn10,scene2_023_FFDNet_denoised.png,scene2,23,GN,-,10,-,ffdnet,DN,37.052,0.915
scene1_19_cbm3d_rn32,scene1_019_CBM3D.png,scene1,19,RN,-,-,32,cbm3d,DN,27.823,0.77
scene2_23_cbm3d_gn25,scene2_023_CBM3D.png,scene2,23,GN,-,25,-,cbm3d,DN,31.886,0.788
scene1_19_ffdnet_rn32,scene1_019_FFDNet_denoised.png,scene1,19,RN,-,-,32,ffdnet,DN,4.636,0.15
scene2_23_ffdnet_gn25,scene2_023_FFDNet_denoised.png,scene2,23,GN,-,25,-,ffdnet,DN,33.553,0.839
scene2_23_cbm3d_rn32,scene2_023_CBM3D.png,scene2,23,RN,-,-,32,cbm3d,DN,31.098,0.777
scene2_23_ffdnet_rn32,scene2_023_FFDNet_denoised.png,scene2,23,RN,-,-,32,ffdnet,DN,2.745,0.218
scene2_24_cbm3d_gn10,scene2_024_CBM3D.png,scene2,24,GN,-,10,-,cbm3d,DN,35.312,0.877
scene2_24_ffdnet_gn10,scene2_024_FFDNet_denoised.png,scene2,24,GN,-,10,-,ffdnet,DN,37.1,0.915
scene2_24_cbm3d_gn25,scene2_024_CBM3D.png,scene2,24,GN,-,25,-,cbm3d,DN,31.967,0.789
scene2_24_ffdnet_gn25,scene2_024_FFDNet_denoised.png,scene2,24,GN,-,25,-,ffdnet,DN,33.65,0.839
scene2_24_cbm3d_rn32,scene2_024_CBM3D.png,scene2,24,RN,-,-,32,cbm3d,DN,31.112,0.779
scene2_24_ffdnet_rn32,scene2_024_FFDNet_denoised.png,scene2,24,RN,-,-,32,ffdnet,DN,2.729,0.225
scene1_24_cbm3d_gn10,scene1_024_CBM3D.png,scene1,24,GN,-,10,-,cbm3d,DN,33.197,0.914
scene1_24_ffdnet_gn10,scene1_024_FFDNet_denoised.png,scene1,24,GN,-,10,-,ffdnet,DN,35.404,0.943
scene2_25_cbm3d_gn10,scene2_025_CBM3D.png,scene2,25,GN,-,10,-,cbm3d,DN,35.457,0.876
scene2_25_ffdnet_gn10,scene2_025_FFDNet_denoised.png,scene2,25,GN,-,10,-,ffdnet,DN,37.155,0.913
scene2_25_cbm3d_gn25,scene2_025_CBM3D.png,scene2,25,GN,-,25,-,cbm3d,DN,32.29,0.795
scene2_25_ffdnet_gn25,scene2_025_FFDNet_denoised.png,scene2,25,GN,-,25,-,ffdnet,DN,33.818,0.84
scene2_25_cbm3d_rn32,scene2_025_CBM3D.png,scene2,25,RN,-,-,32,cbm3d,DN,31.359,0.787
scene2_25_ffdnet_rn32,scene2_025_FFDNet_denoised.png,scene2,25,RN,-,-,32,ffdnet,DN,2.826,0.241
scene2_26_cbm3d_gn10,scene2_026_CBM3D.png,scene2,26,GN,-,10,-,cbm3d,DN,35.545,0.875
scene2_26_ffdnet_gn10,scene2_026_FFDNet_denoised.png,scene2,26,GN,-,10,-,ffdnet,DN,37.187,0.911
scene2_26_cbm3d_gn25,scene2_026_CBM3D.png,scene2,26,GN,-,25,-,cbm3d,DN,32.475,0.799
scene2_26_ffdnet_gn25,scene2_026_FFDNet_denoised.png,scene2,26,GN,-,25,-,ffdnet,DN,33.886,0.839
scene1_24_cbm3d_gn25,scene1_024_CBM3D.png,scene1,24,GN,-,25,-,cbm3d,DN,28.731,0.792
scene1_24_ffdnet_gn25,scene1_024_FFDNet_denoised.png,scene1,24,GN,-,25,-,ffdnet,DN,30.736,0.861
scene2_26_cbm3d_rn32,scene2_026_CBM3D.png,scene2,26,RN,-,-,32,cbm3d,DN,31.569,0.793
scene2_26_ffdnet_rn32,scene2_026_FFDNet_denoised.png,scene2,26,RN,-,-,32,ffdnet,DN,2.937,0.253
scene2_27_cbm3d_gn10,scene2_027_CBM3D.png,scene2,27,GN,-,10,-,cbm3d,DN,35.421,0.876
scene2_27_ffdnet_gn10,scene2_027_FFDNet_denoised.png,scene2,27,GN,-,10,-,ffdnet,DN,37.092,0.911
scene2_27_cbm3d_gn25,scene2_027_CBM3D.png,scene2,27,GN,-,25,-,cbm3d,DN,32.235,0.796
scene2_27_ffdnet_gn25,scene2_027_FFDNet_denoised.png,scene2,27,GN,-,25,-,ffdnet,DN,33.7,0.838
scene2_27_cbm3d_rn32,scene2_027_CBM3D.png,scene2,27,RN,-,-,32,cbm3d,DN,31.263,0.786
scene2_27_ffdnet_rn32,scene2_027_FFDNet_denoised.png,scene2,27,RN,-,-,32,ffdnet,DN,3.077,0.257
scene2_28_cbm3d_gn10,scene2_028_CBM3D.png,scene2,28,GN,-,10,-,cbm3d,DN,35.313,0.875
scene2_28_ffdnet_gn10,scene2_028_FFDNet_denoised.png,scene2,28,GN,-,10,-,ffdnet,DN,37.019,0.912
scene1_24_cbm3d_rn32,scene1_024_CBM3D.png,scene1,24,RN,-,-,32,cbm3d,DN,28.293,0.768
scene1_24_ffdnet_rn32,scene1_024_FFDNet_denoised.png,scene1,24,RN,-,-,32,ffdnet,DN,4.263,0.145
scene2_28_cbm3d_gn25,scene2_028_CBM3D.png,scene2,28,GN,-,25,-,cbm3d,DN,32.14,0.788
scene2_28_ffdnet_gn25,scene2_028_FFDNet_denoised.png,scene2,28,GN,-,25,-,ffdnet,DN,33.641,0.837
scene2_28_cbm3d_rn32,scene2_028_CBM3D.png,scene2,28,RN,-,-,32,cbm3d,DN,31.163,0.776
scene2_28_ffdnet_rn32,scene2_028_FFDNet_denoised.png,scene2,28,RN,-,-,32,ffdnet,DN,3.212,0.268
scene2_29_cbm3d_gn10,scene2_029_CBM3D.png,scene2,29,GN,-,10,-,cbm3d,DN,35.198,0.873
scene2_29_ffdnet_gn10,scene2_029_FFDNet_denoised.png,scene2,29,GN,-,10,-,ffdnet,DN,36.961,0.912
scene2_29_cbm3d_gn25,scene2_029_CBM3D.png,scene2,29,GN,-,25,-,cbm3d,DN,32.03,0.78
scene2_29_ffdnet_gn25,scene2_029_FFDNet_denoised.png,scene2,29,GN,-,25,-,ffdnet,DN,33.565,0.834
scene2_29_cbm3d_rn32,scene2_029_CBM3D.png,scene2,29,RN,-,-,32,cbm3d,DN,31.051,0.767
scene2_29_ffdnet_rn32,scene2_029_FFDNet_denoised.png,scene2,29,RN,-,-,32,ffdnet,DN,3.277,0.269
scene1_25_cbm3d_gn10,scene1_025_CBM3D.png,scene1,25,GN,-,10,-,cbm3d,DN,33.122,0.916
scene1_25_ffdnet_gn10,scene1_025_FFDNet_denoised.png,scene1,25,GN,-,10,-,ffdnet,DN,35.352,0.944
scene3_0_cbm3d_gn10,scene3_000_CBM3D.png,scene3,0,GN,-,10,-,cbm3d,DN,36.021,0.88
scene3_0_ffdnet_gn10,scene3_000_FFDNet_denoised.png,scene3,0,GN,-,10,-,ffdnet,DN,37.406,0.904
scene3_0_cbm3d_gn25,scene3_000_CBM3D.png,scene3,0,GN,-,25,-,cbm3d,DN,33.476,0.845
scene3_0_ffdnet_gn25,scene3_000_FFDNet_denoised.png,scene3,0,GN,-,25,-,ffdnet,DN,34.975,0.865
scene3_0_cbm3d_rn32,scene3_000_CBM3D.png,scene3,0,RN,-,-,32,cbm3d,DN,31.035,0.84
scene3_0_ffdnet_rn32,scene3_000_FFDNet_denoised.png,scene3,0,RN,-,-,32,ffdnet,DN,6.234,0.543
scene3_1_cbm3d_gn10,scene3_001_CBM3D.png,scene3,1,GN,-,10,-,cbm3d,DN,36.028,0.882
scene3_1_ffdnet_gn10,scene3_001_FFDNet_denoised.png,scene3,1,GN,-,10,-,ffdnet,DN,37.365,0.905
scene1_25_cbm3d_gn25,scene1_025_CBM3D.png,scene1,25,GN,-,25,-,cbm3d,DN,28.663,0.8
scene1_25_ffdnet_gn25,scene1_025_FFDNet_denoised.png,scene1,25,GN,-,25,-,ffdnet,DN,30.675,0.866
scene3_1_cbm3d_gn25,scene3_001_CBM3D.png,scene3,1,GN,-,25,-,cbm3d,DN,33.455,0.844
scene3_1_ffdnet_gn25,scene3_001_FFDNet_denoised.png,scene3,1,GN,-,25,-,ffdnet,DN,34.917,0.866
scene3_1_cbm3d_rn32,scene3_001_CBM3D.png,scene3,1,RN,-,-,32,cbm3d,DN,31.102,0.841
scene3_1_ffdnet_rn32,scene3_001_FFDNet_denoised.png,scene3,1,RN,-,-,32,ffdnet,DN,6.094,0.532
scene3_2_cbm3d_gn10,scene3_002_CBM3D.png,scene3,2,GN,-,10,-,cbm3d,DN,35.983,0.882
scene3_2_ffdnet_gn10,scene3_002_FFDNet_denoised.png,scene3,2,GN,-,10,-,ffdnet,DN,37.262,0.905
scene3_2_cbm3d_gn25,scene3_002_CBM3D.png,scene3,2,GN,-,25,-,cbm3d,DN,33.595,0.844
scene3_2_ffdnet_gn25,scene3_002_FFDNet_denoised.png,scene3,2,GN,-,25,-,ffdnet,DN,34.89,0.864
scene1_25_cbm3d_rn32,scene1_025_CBM3D.png,scene1,25,RN,-,-,32,cbm3d,DN,28.241,0.774
scene1_25_ffdnet_rn32,scene1_025_FFDNet_denoised.png,scene1,25,RN,-,-,32,ffdnet,DN,4.461,0.147
scene3_2_cbm3d_rn32,scene3_002_CBM3D.png,scene3,2,RN,-,-,32,cbm3d,DN,31.681,0.841
scene3_2_ffdnet_rn32,scene3_002_FFDNet_denoised.png,scene3,2,RN,-,-,32,ffdnet,DN,5.93,0.515
scene3_3_cbm3d_gn10,scene3_003_CBM3D.png,scene3,3,GN,-,10,-,cbm3d,DN,35.903,0.882
scene3_3_ffdnet_gn10,scene3_003_FFDNet_denoised.png,scene3,3,GN,-,10,-,ffdnet,DN,37.182,0.905
scene3_3_cbm3d_gn25,scene3_003_CBM3D.png,scene3,3,GN,-,25,-,cbm3d,DN,33.493,0.843
scene3_3_ffdnet_gn25,scene3_003_FFDNet_denoised.png,scene3,3,GN,-,25,-,ffdnet,DN,34.766,0.864
scene3_3_cbm3d_rn32,scene3_003_CBM3D.png,scene3,3,RN,-,-,32,cbm3d,DN,31.566,0.84
scene3_3_ffdnet_rn32,scene3_003_FFDNet_denoised.png,scene3,3,RN,-,-,32,ffdnet,DN,5.823,0.506
scene1_26_cbm3d_gn10,scene1_026_CBM3D.png,scene1,26,GN,-,10,-,cbm3d,DN,33.03,0.921
scene1_26_ffdnet_gn10,scene1_026_FFDNet_denoised.png,scene1,26,GN,-,10,-,ffdnet,DN,35.319,0.948
scene3_8_cbm3d_gn10,scene3_008_CBM3D.png,scene3,8,GN,-,10,-,cbm3d,DN,35.51,0.875
scene3_8_ffdnet_gn10,scene3_008_FFDNet_denoised.png,scene3,8,GN,-,10,-,ffdnet,DN,36.96,0.903
scene3_8_cbm3d_gn25,scene3_008_CBM3D.png,scene3,8,GN,-,25,-,cbm3d,DN,32.868,0.832
scene3_8_ffdnet_gn25,scene3_008_FFDNet_denoised.png,scene3,8,GN,-,25,-,ffdnet,DN,34.244,0.853
scene3_8_cbm3d_rn32,scene3_008_CBM3D.png,scene3,8,RN,-,-,32,cbm3d,DN,31.065,0.829
scene3_8_ffdnet_rn32,scene3_008_FFDNet_denoised.png,scene3,8,RN,-,-,32,ffdnet,DN,5.496,0.465
scene3_9_cbm3d_gn10,scene3_009_CBM3D.png,scene3,9,GN,-,10,-,cbm3d,DN,35.549,0.88
scene3_9_ffdnet_gn10,scene3_009_FFDNet_denoised.png,scene3,9,GN,-,10,-,ffdnet,DN,37.061,0.907
scene1_26_cbm3d_gn25,scene1_026_CBM3D.png,scene1,26,GN,-,25,-,cbm3d,DN,28.55,0.813
scene3_9_cbm3d_gn25,scene3_009_CBM3D.png,scene3,9,GN,-,25,-,cbm3d,DN,32.789,0.838
scene3_9_ffdnet_gn25,scene3_009_FFDNet_denoised.png,scene3,9,GN,-,25,-,ffdnet,DN,34.279,0.861
scene1_26_ffdnet_gn25,scene1_026_FFDNet_denoised.png,scene1,26,GN,-,25,-,ffdnet,DN,30.636,0.877
scene3_9_cbm3d_rn32,scene3_009_CBM3D.png,scene3,9,RN,-,-,32,cbm3d,DN,31.117,0.835
scene3_9_ffdnet_rn32,scene3_009_FFDNet_denoised.png,scene3,9,RN,-,-,32,ffdnet,DN,5.675,0.475
scene3_10_cbm3d_gn10,scene3_010_CBM3D.png,scene3,10,GN,-,10,-,cbm3d,DN,35.44,0.884
scene3_10_ffdnet_gn10,scene3_010_FFDNet_denoised.png,scene3,10,GN,-,10,-,ffdnet,DN,36.968,0.911
scene3_10_cbm3d_gn25,scene3_010_CBM3D.png,scene3,10,GN,-,25,-,cbm3d,DN,32.637,0.842
scene3_10_ffdnet_gn25,scene3_010_FFDNet_denoised.png,scene3,10,GN,-,25,-,ffdnet,DN,34.131,0.865
scene3_10_cbm3d_rn32,scene3_010_CBM3D.png,scene3,10,RN,-,-,32,cbm3d,DN,30.952,0.839
scene3_10_ffdnet_rn32,scene3_010_FFDNet_denoised.png,scene3,10,RN,-,-,32,ffdnet,DN,5.733,0.458
scene1_26_cbm3d_rn32,scene1_026_CBM3D.png,scene1,26,RN,-,-,32,cbm3d,DN,28.175,0.787
scene1_26_ffdnet_rn32,scene1_026_FFDNet_denoised.png,scene1,26,RN,-,-,32,ffdnet,DN,4.846,0.149
scene3_11_cbm3d_gn10,scene3_011_CBM3D.png,scene3,11,GN,-,10,-,cbm3d,DN,35.333,0.882
scene3_11_ffdnet_gn10,scene3_011_FFDNet_denoised.png,scene3,11,GN,-,10,-,ffdnet,DN,36.916,0.909
scene3_11_cbm3d_gn25,scene3_011_CBM3D.png,scene3,11,GN,-,25,-,cbm3d,DN,32.559,0.839
scene3_11_ffdnet_gn25,scene3_011_FFDNet_denoised.png,scene3,11,GN,-,25,-,ffdnet,DN,34.085,0.863
scene3_11_cbm3d_rn32,scene3_011_CBM3D.png,scene3,11,RN,-,-,32,cbm3d,DN,30.812,0.835
scene3_11_ffdnet_rn32,scene3_011_FFDNet_denoised.png,scene3,11,RN,-,-,32,ffdnet,DN,5.717,0.461
scene3_12_cbm3d_gn10,scene3_012_CBM3D.png,scene3,12,GN,-,10,-,cbm3d,DN,35.297,0.878
scene3_12_ffdnet_gn10,scene3_012_FFDNet_denoised.png,scene3,12,GN,-,10,-,ffdnet,DN,36.936,0.906
scene1_27_cbm3d_gn10,scene1_027_CBM3D.png,scene1,27,GN,-,10,-,cbm3d,DN,33.019,0.923
scene1_27_ffdnet_gn10,scene1_027_FFDNet_denoised.png,scene1,27,GN,-,10,-,ffdnet,DN,35.345,0.95
scene3_12_cbm3d_gn25,scene3_012_CBM3D.png,scene3,12,GN,-,25,-,cbm3d,DN,32.457,0.835
scene3_12_ffdnet_gn25,scene3_012_FFDNet_denoised.png,scene3,12,GN,-,25,-,ffdnet,DN,34.061,0.86
scene3_12_cbm3d_rn32,scene3_012_CBM3D.png,scene3,12,RN,-,-,32,cbm3d,DN,30.627,0.828
scene3_12_ffdnet_rn32,scene3_012_FFDNet_denoised.png,scene3,12,RN,-,-,32,ffdnet,DN,5.672,0.479
scene3_13_cbm3d_gn10,scene3_013_CBM3D.png,scene3,13,GN,-,10,-,cbm3d,DN,35.483,0.877
scene3_13_ffdnet_gn10,scene3_013_FFDNet_denoised.png,scene3,13,GN,-,10,-,ffdnet,DN,37.089,0.905
scene3_13_cbm3d_gn25,scene3_013_CBM3D.png,scene3,13,GN,-,25,-,cbm3d,DN,32.727,0.837
scene3_13_ffdnet_gn25,scene3_013_FFDNet_denoised.png,scene3,13,GN,-,25,-,ffdnet,DN,34.33,0.861
scene1_27_cbm3d_gn25,scene1_027_CBM3D.png,scene1,27,GN,-,25,-,cbm3d,DN,28.551,0.822
scene1_27_ffdnet_gn25,scene1_027_FFDNet_denoised.png,scene1,27,GN,-,25,-,ffdnet,DN,30.67,0.883
scene3_13_cbm3d_rn32,scene3_013_CBM3D.png,scene3,13,RN,-,-,32,cbm3d,DN,30.964,0.832
scene3_13_ffdnet_rn32,scene3_013_FFDNet_denoised.png,scene3,13,RN,-,-,32,ffdnet,DN,5.849,0.5
scene3_14_cbm3d_gn10,scene3_014_CBM3D.png,scene3,14,GN,-,10,-,cbm3d,DN,35.677,0.879
scene3_14_ffdnet_gn10,scene3_014_FFDNet_denoised.png,scene3,14,GN,-,10,-,ffdnet,DN,37.26,0.905
scene3_14_cbm3d_gn25,scene3_014_CBM3D.png,scene3,14,GN,-,25,-,cbm3d,DN,32.965,0.841
scene3_14_ffdnet_gn25,scene3_014_FFDNet_denoised.png,scene3,14,GN,-,25,-,ffdnet,DN,34.56,0.863
scene3_14_cbm3d_rn32,scene3_014_CBM3D.png,scene3,14,RN,-,-,32,cbm3d,DN,31.231,0.837
scene3_14_ffdnet_rn32,scene3_014_FFDNet_denoised.png,scene3,14,RN,-,-,32,ffdnet,DN,6.121,0.526
scene1_27_cbm3d_rn32,scene1_027_CBM3D.png,scene1,27,RN,-,-,32,cbm3d,DN,28.187,0.795
scene1_27_ffdnet_rn32,scene1_027_FFDNet_denoised.png,scene1,27,RN,-,-,32,ffdnet,DN,5.049,0.153
scene3_15_cbm3d_gn10,scene3_015_CBM3D.png,scene3,15,GN,-,10,-,cbm3d,DN,35.604,0.882
scene3_15_ffdnet_gn10,scene3_015_FFDNet_denoised.png,scene3,15,GN,-,10,-,ffdnet,DN,37.222,0.906
scene3_15_cbm3d_gn25,scene3_015_CBM3D.png,scene3,15,GN,-,25,-,cbm3d,DN,32.644,0.838
scene3_15_ffdnet_gn25,scene3_015_FFDNet_denoised.png,scene3,15,GN,-,25,-,ffdnet,DN,34.396,0.864
scene3_15_cbm3d_rn32,scene3_015_CBM3D.png,scene3,15,RN,-,-,32,cbm3d,DN,30.374,0.831
scene3_15_ffdnet_rn32,scene3_015_FFDNet_denoised.png,scene3,15,RN,-,-,32,ffdnet,DN,6.199,0.529
scene3_16_cbm3d_gn10,scene3_016_CBM3D.png,scene3,16,GN,-,10,-,cbm3d,DN,35.638,0.883
scene3_16_ffdnet_gn10,scene3_016_FFDNet_denoised.png,scene3,16,GN,-,10,-,ffdnet,DN,37.271,0.907
scene1_29_cbm3d_gn10,scene1_029_CBM3D.png,scene1,29,GN,-,10,-,cbm3d,DN,33.358,0.923
scene1_29_ffdnet_gn10,scene1_029_FFDNet_denoised.png,scene1,29,GN,-,10,-,ffdnet,DN,35.636,0.948
scene3_16_cbm3d_gn25,scene3_016_CBM3D.png,scene3,16,GN,-,25,-,cbm3d,DN,32.598,0.84
scene3_16_ffdnet_gn25,scene3_016_FFDNet_denoised.png,scene3,16,GN,-,25,-,ffdnet,DN,34.398,0.865
scene3_16_cbm3d_rn32,scene3_016_CBM3D.png,scene3,16,RN,-,-,32,cbm3d,DN,30.297,0.832
scene3_16_ffdnet_rn32,scene3_016_FFDNet_denoised.png,scene3,16,RN,-,-,32,ffdnet,DN,6.243,0.54
scene3_17_cbm3d_gn10,scene3_017_CBM3D.png,scene3,17,GN,-,10,-,cbm3d,DN,35.808,0.884
scene3_17_ffdnet_gn10,scene3_017_FFDNet_denoised.png,scene3,17,GN,-,10,-,ffdnet,DN,37.396,0.906
scene3_17_cbm3d_gn25,scene3_017_CBM3D.png,scene3,17,GN,-,25,-,cbm3d,DN,32.846,0.844
scene3_17_ffdnet_gn25,scene3_017_FFDNet_denoised.png,scene3,17,GN,-,25,-,ffdnet,DN,34.633,0.868
scene1_29_cbm3d_gn25,scene1_029_CBM3D.png,scene1,29,GN,-,25,-,cbm3d,DN,28.934,0.829
scene1_29_ffdnet_gn25,scene1_029_FFDNet_denoised.png,scene1,29,GN,-,25,-,ffdnet,DN,31.015,0.883
scene3_17_cbm3d_rn32,scene3_017_CBM3D.png,scene3,17,RN,-,-,32,cbm3d,DN,30.472,0.836
scene3_17_ffdnet_rn32,scene3_017_FFDNet_denoised.png,scene3,17,RN,-,-,32,ffdnet,DN,6.298,0.554
scene3_18_cbm3d_gn10,scene3_018_CBM3D.png,scene3,18,GN,-,10,-,cbm3d,DN,36.032,0.88
scene3_18_ffdnet_gn10,scene3_018_FFDNet_denoised.png,scene3,18,GN,-,10,-,ffdnet,DN,37.48,0.903
scene3_18_cbm3d_gn25,scene3_018_CBM3D.png,scene3,18,GN,-,25,-,cbm3d,DN,33.404,0.847
scene3_18_ffdnet_gn25,scene3_018_FFDNet_denoised.png,scene3,18,GN,-,25,-,ffdnet,DN,35.038,0.867
scene3_18_cbm3d_rn32,scene3_018_CBM3D.png,scene3,18,RN,-,-,32,cbm3d,DN,30.875,0.841
scene3_18_ffdnet_rn32,scene3_018_FFDNet_denoised.png,scene3,18,RN,-,-,32,ffdnet,DN,6.356,0.561
scene1_29_cbm3d_rn32,scene1_029_CBM3D.png,scene1,29,RN,-,-,32,cbm3d,DN,28.669,0.809
scene1_29_ffdnet_rn32,scene1_029_FFDNet_denoised.png,scene1,29,RN,-,-,32,ffdnet,DN,4.988,0.163
scene3_19_cbm3d_gn10,scene3_019_CBM3D.png,scene3,19,GN,-,10,-,cbm3d,DN,36.034,0.878
scene3_19_ffdnet_gn10,scene3_019_FFDNet_denoised.png,scene3,19,GN,-,10,-,ffdnet,DN,37.442,0.902
scene3_19_cbm3d_gn25,scene3_019_CBM3D.png,scene3,19,GN,-,25,-,cbm3d,DN,33.483,0.846
scene3_19_ffdnet_gn25,scene3_019_FFDNet_denoised.png,scene3,19,GN,-,25,-,ffdnet,DN,35.027,0.864
scene3_19_cbm3d_rn32,scene3_019_CBM3D.png,scene3,19,RN,-,-,32,cbm3d,DN,30.907,0.841
scene3_19_ffdnet_rn32,scene3_019_FFDNet_denoised.png,scene3,19,RN,-,-,32,ffdnet,DN,6.311,0.554
scene1_0_bicubic,scene1_000_bicubic.png,scene1,0,LR,x4,-,-,bicubic,SR,22.924,0.68
scene2_0_cbm3d_gn10,scene2_000_CBM3D.png,scene2,0,GN,-,10,-,cbm3d,DN,35.095,0.871
scene2_0_ffdnet_gn10,scene2_000_FFDNet_denoised.png,scene2,0,GN,-,10,-,ffdnet,DN,36.886,0.912
scene1_0_edsr,scene1_000_edsr.png,scene1,0,LR,x4,-,-,edsr,SR,18.857,0.561
scene1_1_bicubic,scene1_001_bicubic.png,scene1,1,LR,x4,-,-,bicubic,SR,23.241,0.698
scene1_1_edsr,scene1_001_edsr.png,scene1,1,LR,x4,-,-,edsr,SR,19.188,0.588
scene1_2_bicubic,scene1_002_bicubic.png,scene1,2,LR,x4,-,-,bicubic,SR,23.889,0.717
scene1_2_edsr,scene1_002_edsr.png,scene1,2,LR,x4,-,-,edsr,SR,19.665,0.606
scene1_8_bicubic,scene1_008_bicubic.png,scene1,8,LR,x4,-,-,bicubic,SR,24.533,0.744
scene1_8_edsr,scene1_008_edsr.png,scene1,8,LR,x4,-,-,edsr,SR,20.475,0.631
scene1_9_bicubic,scene1_009_bicubic.png,scene1,9,LR,x4,-,-,bicubic,SR,24.492,0.731
scene1_9_edsr,scene1_009_edsr.png,scene1,9,LR,x4,-,-,edsr,SR,20.353,0.614
scene1_10_bicubic,scene1_010_bicubic.png,scene1,10,LR,x4,-,-,bicubic,SR,24.161,0.717
scene2_0_cbm3d_gn25,scene2_000_CBM3D.png,scene2,0,GN,-,25,-,cbm3d,DN,31.963,0.774
scene2_0_ffdnet_gn25,scene2_000_FFDNet_denoised.png,scene2,0,GN,-,25,-,ffdnet,DN,33.488,0.831
scene1_10_edsr,scene1_010_edsr.png,scene1,10,LR,x4,-,-,edsr,SR,19.971,0.59
scene1_11_bicubic,scene1_011_bicubic.png,scene1,11,LR,x4,-,-,bicubic,SR,23.931,0.703
scene1_11_edsr,scene1_011_edsr.png,scene1,11,LR,x4,-,-,edsr,SR,19.778,0.582
scene1_12_bicubic,scene1_012_bicubic.png,scene1,12,LR,x4,-,-,bicubic,SR,23.652,0.69
scene1_12_edsr,scene1_012_edsr.png,scene1,12,LR,x4,-,-,edsr,SR,19.401,0.566
scene1_13_bicubic,scene1_013_bicubic.png,scene1,13,LR,x4,-,-,bicubic,SR,23.315,0.673
scene1_13_edsr,scene1_013_edsr.png,scene1,13,LR,x4,-,-,edsr,SR,19.083,0.547
