id,scene,view_id,input_type,scale,sigma,spp,model,task,filename,path,experiment_name
scene1_12_ffdnet_rn32,scene1,12,RN,-,-,32,ffdnet,DN,scene1_012_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_012_FFDNet_denoised.png,denoise
scene1_8_cbm3d_gn10,scene1,8,GN,-,10,-,cbm3d,DN,scene1_008_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_008_CBM3D.png,denoise
scene1_8_ffdnet_gn10,scene1,8,GN,-,10,-,ffdnet,DN,scene1_008_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_008_FFDNet_denoised.png,denoise
scene1_8_cbm3d_gn25,scene1,8,GN,-,25,-,cbm3d,DN,scene1_008_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_008_CBM3D.png,denoise
scene1_8_ffdnet_gn25,scene1,8,GN,-,25,-,ffdnet,DN,scene1_008_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_008_FFDNet_denoised.png,denoise
scene1_8_cbm3d_rn32,scene1,8,RN,-,-,32,cbm3d,DN,scene1_008_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_008_CBM3D.png,denoise
scene1_8_ffdnet_rn32,scene1,8,RN,-,-,32,ffdnet,DN,scene1_008_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_008_FFDNet_denoised.png,denoise
scene1_9_cbm3d_gn10,scene1,9,GN,-,10,-,cbm3d,DN,scene1_009_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_009_CBM3D.png,denoise
scene1_9_ffdnet_gn10,scene1,9,GN,-,10,-,ffdnet,DN,scene1_009_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_009_FFDNet_denoised.png,denoise
scene1_13_cbm3d_gn10,scene1,13,GN,-,10,-,cbm3d,DN,scene1_013_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_013_CBM3D.png,denoise
scene1_13_ffdnet_gn10,scene1,13,GN,-,10,-,ffdnet,DN,scene1_013_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_013_FFDNet_denoised.png,denoise
scene1_9_cbm3d_gn25,scene1,9,GN,-,25,-,cbm3d,DN,scene1_009_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_009_CBM3D.png,denoise
scene1_9_ffdnet_gn25,scene1,9,GN,-,25,-,ffdnet,DN,scene1_009_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_009_FFDNet_denoised.png,denoise
scene1_9_cbm3d_rn32,scene1,9,RN,-,-,32,cbm3d,DN,scene1_009_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_009_CBM3D.png,denoise
scene1_9_ffdnet_rn32,scene1,9,RN,-,-,32,ffdnet,DN,scene1_009_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_009_FFDNet_denoised.png,denoise
scene1_10_cbm3d_gn10,scene1,10,GN,-,10,-,cbm3d,DN,scene1_010_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_010_CBM3D.png,denoise
scene1_10_ffdnet_gn10,scene1,10,GN,-,10,-,ffdnet,DN,scene1_010_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_010_FFDNet_denoised.png,denoise
scene1_10_cbm3d_gn25,scene1,10,GN,-,25,-,cbm3d,DN,scene1_010_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_010_CBM3D.png,denoise
scene1_10_ffdnet_gn25,scene1,10,GN,-,25,-,ffdnet,DN,scene1_010_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_010_FFDNet_denoised.png,denoise
scene1_13_cbm3d_gn25,scene1,13,GN,-,25,-,cbm3d,DN,scene1_013_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_013_CBM3D.png,denoise
scene1_13_ffdnet_gn25,scene1,13,GN,-,25,-,ffdnet,DN,scene1_013_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_013_FFDNet_denoised.png,denoise
scene1_10_cbm3d_rn32,scene1,10,RN,-,-,32,cbm3d,DN,scene1_010_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_010_CBM3D.png,denoise
scene1_10_ffdnet_rn32,scene1,10,RN,-,-,32,ffdnet,DN,scene1_010_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_010_FFDNet_denoised.png,denoise
scene1_11_cbm3d_gn10,scene1,11,GN,-,10,-,cbm3d,DN,scene1_011_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_011_CBM3D.png,denoise
scene1_11_ffdnet_gn10,scene1,11,GN,-,10,-,ffdnet,DN,scene1_011_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_011_FFDNet_denoised.png,denoise
scene1_11_cbm3d_gn25,scene1,11,GN,-,25,-,cbm3d,DN,scene1_011_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_011_CBM3D.png,denoise
scene1_11_ffdnet_gn25,scene1,11,GN,-,25,-,ffdnet,DN,scene1_011_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_011_FFDNet_denoised.png,denoise
scene1_11_cbm3d_rn32,scene1,11,RN,-,-,32,cbm3d,DN,scene1_011_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_011_CBM3D.png,denoise
scene1_11_ffdnet_rn32,scene1,11,RN,-,-,32,ffdnet,DN,scene1_011_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_011_FFDNet_denoised.png,denoise
scene1_13_cbm3d_rn32,scene1,13,RN,-,-,32,cbm3d,DN,scene1_013_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_013_CBM3D.png,denoise
scene1_13_ffdnet_rn32,scene1,13,RN,-,-,32,ffdnet,DN,scene1_013_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_013_FFDNet_denoised.png,denoise
scene1_12_cbm3d_gn10,scene1,12,GN,-,10,-,cbm3d,DN,scene1_012_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_012_CBM3D.png,denoise
scene1_12_ffdnet_gn10,scene1,12,GN,-,10,-,ffdnet,DN,scene1_012_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_012_FFDNet_denoised.png,denoise
scene1_12_cbm3d_gn25,scene1,12,GN,-,25,-,cbm3d,DN,scene1_012_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_012_CBM3D.png,denoise
scene1_12_ffdnet_gn25,scene1,12,GN,-,25,-,ffdnet,DN,scene1_012_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_012_FFDNet_denoised.png,denoise
scene1_12_cbm3d_rn32,scene1,12,RN,-,-,32,cbm3d,DN,scene1_012_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_012_CBM3D.png,denoise
scene1_12_ffdnet_rn32,scene1,12,RN,-,-,32,ffdnet,DN,scene1_012_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_012_FFDNet_denoised.png,denoise
scene1_13_cbm3d_gn10,scene1,13,GN,-,10,-,cbm3d,DN,scene1_013_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_013_CBM3D.png,denoise
scene1_13_ffdnet_gn10,scene1,13,GN,-,10,-,ffdnet,DN,scene1_013_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_013_FFDNet_denoised.png,denoise
scene1_14_cbm3d_gn10,scene1,14,GN,-,10,-,cbm3d,DN,scene1_014_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_014_CBM3D.png,denoise
scene1_14_ffdnet_gn10,scene1,14,GN,-,10,-,ffdnet,DN,scene1_014_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_014_FFDNet_denoised.png,denoise
scene1_13_cbm3d_gn25,scene1,13,GN,-,25,-,cbm3d,DN,scene1_013_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_013_CBM3D.png,denoise
scene1_13_ffdnet_gn25,scene1,13,GN,-,25,-,ffdnet,DN,scene1_013_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_013_FFDNet_denoised.png,denoise
scene1_13_cbm3d_rn32,scene1,13,RN,-,-,32,cbm3d,DN,scene1_013_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_013_CBM3D.png,denoise
scene1_13_ffdnet_rn32,scene1,13,RN,-,-,32,ffdnet,DN,scene1_013_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_013_FFDNet_denoised.png,denoise
scene1_14_cbm3d_gn10,scene1,14,GN,-,10,-,cbm3d,DN,scene1_014_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_014_CBM3D.png,denoise
scene1_14_ffdnet_gn10,scene1,14,GN,-,10,-,ffdnet,DN,scene1_014_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_014_FFDNet_denoised.png,denoise
scene1_14_cbm3d_gn25,scene1,14,GN,-,25,-,cbm3d,DN,scene1_014_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_014_CBM3D.png,denoise
